Name                                                       Stmts   Miss  Cover
------------------------------------------------------------------------------
src/dashboard_public_health/application/auto_mapper.py        18      0   100%
src/dashboard_public_health/application/clean.py              95      5    95%
src/dashboard_public_health/application/ingestion.py          21     11    48%
src/dashboard_public_health/application/logger.py              8      5    38%
src/dashboard_public_health/application/provenance.py         31      0   100%
src/dashboard_public_health/application/query.py              58      0   100%
src/dashboard_public_health/application/summary.py            45      2    96%
src/dashboard_public_health/application/visualization.py      42      0   100%
src/dashboard_public_health/config.py                          7      0   100%
src/dashboard_public_health/domain/models.py                  29      1    97%
src/dashboard_public_health/infrastructure/csv_reader.py       9      0   100%
src/dashboard_public_health/infrastructure/db.py             100     23    77%
src/dashboard_public_health/infrastructure/logger.py          29      2    93%
src/dashboard_public_health/ui/cli/__init__.py                 4      2    50%
src/dashboard_public_health/ui/cli/crud_menu.py               70     20    71%
src/dashboard_public_health/ui/cli/export_menu.py             59     15    75%
src/dashboard_public_health/ui/cli/filter_menu.py             46      5    89%
src/dashboard_public_health/ui/cli/helpers.py                 34      9    74%
src/dashboard_public_health/ui/cli/load_provenance.py         14      8    43%
src/dashboard_public_health/ui/cli/main_menu.py               38      9    76%
src/dashboard_public_health/ui/cli/router.py                  24      6    75%
src/dashboard_public_health/ui/cli/session.py                  9      0   100%
src/dashboard_public_health/ui/cli/summary_menu.py            90     39    57%
tests/application/test_app_clean.py                           45      0   100%
tests/application/test_auto_mapper.py                         17      0   100%
tests/application/test_provenance.py                          23      0   100%
tests/application/test_query.py                              136      0   100%
tests/application/test_summary.py                             34      0   100%
tests/application/test_visualization.py                       33      0   100%
tests/conftest.py                                             11      0   100%
tests/domain/test_models.py                                   11      0   100%
tests/infra/test_db.py                                        65      0   100%
tests/infra/test_infra_loader.py                              13      1    92%
tests/infra/test_logger.py                                    15      0   100%
tests/test_cli.py                                            174      2    99%
tests/ui/test_session.py                                      13      0   100%
------------------------------------------------------------------------------
TOTAL                                                       1470    165    89%
